starting_a,starting_e,host
23.239494527276182,0.5001582844044421,70OphA
23.24804620731663,0.5001990514608451,70OphA
23.24755386760726,0.5001757114661954,70OphA
23.277879833238995,0.5001513917457858,70OphA
23.18470540725001,0.5000162764914978,70OphA
23.20394489873052,0.5002133215321874,70OphA
23.24286727920223,0.5003745839491407,70OphA
23.236168353884903,0.499999060154544,70OphA
23.231321631575103,0.5000212040069226,70OphA
23.275107081862764,0.5002964694667927,70OphA
23.24003955725501,0.5001780471524037,70OphA
23.263167330899847,0.4999636972077957,70OphA
23.227885871800744,0.4999046297689798,70OphA
23.22406726465049,0.500108794956272,70OphA
23.2420706383976,0.5002780698538319,70OphA
23.21917958742357,0.4997918417389839,70OphA
23.24666328349052,0.5003687702222647,70OphA
23.233708186368517,0.5001122679266626,70OphA
23.24991375653844,0.5004250004282387,70OphA
23.225710701077936,0.5002948119993039,70OphA
23.239812819374844,0.5001633574373874,70OphA
23.243465487297225,0.5003460298834714,70OphA
23.24711542132295,0.4999139542014108,70OphA
23.20951407666504,0.4999862139481513,70OphA
23.241537094193315,0.5001789300752291,70OphA
23.244047589309027,0.5001653724010532,70OphA
23.213620134240767,0.4999859267120947,70OphA
23.240950570371663,0.5002630171501438,70OphA
23.18771222157412,0.5001934376904916,70OphA
23.249702401078544,0.500136088460823,70OphA
23.21607856940011,0.5000357938496266,70OphA
23.25913511580658,0.5002007154660814,70OphA
23.200301277553468,0.5000684578209312,70OphA
23.23384518993038,0.5000425987575758,70OphA
23.211477446798003,0.4999636794295684,70OphA
23.195926648953204,0.5001973966151813,70OphA
23.16980135540318,0.5003016377068475,70OphA
23.24908786266621,0.5000987119463355,70OphA
23.285193855077,0.4999967001310121,70OphA
23.2334380553876,0.4998462084061287,70OphA
23.226863424451984,0.4998642439751846,70OphA
23.19231163451072,0.5002977827758025,70OphA
23.244286605823664,0.5000788807299993,70OphA
23.237581154617025,0.5000805402234384,70OphA
23.245695130172827,0.4998927801980439,70OphA
23.228636790142573,0.5003808087228943,70OphA
23.275498085856608,0.5000371466498734,70OphA
23.23390093313251,0.500245007039195,70OphA
23.26826920627707,0.5003718317960799,70OphA
23.238586950250863,0.4999122022834216,70OphA
23.183542648589828,0.5001110098614476,70OphA
23.23080866016601,0.4999482695775,70OphA
23.237921638622456,0.5003453636416217,70OphA
23.244912899888572,0.5004297621853643,70OphA
23.26616822494951,0.5002976274222872,70OphA
23.208962830020177,0.5001148327637428,70OphA
23.22107455673539,0.5000997089746532,70OphA
23.23309719126645,0.5002825692508146,70OphA
23.22232296051884,0.5002304940184726,70OphA
23.24945558486418,0.5002083860992858,70OphA
23.223161355904235,0.500062286934797,70OphA
23.205035915429807,0.500058958314977,70OphA
23.246111125633615,0.5003136104492378,70OphA
23.200466270501757,0.5003439951145627,70OphA
23.22465166273473,0.5003216315624687,70OphA
23.25175690796937,0.50010198419252,70OphA
23.23619370350752,0.4999503065810274,70OphA
23.24155163906036,0.4999378132465669,70OphA
23.23880649558781,0.4999410481534924,70OphA
23.20973099989671,0.5002445351975409,70OphA
23.25052445031028,0.5004277767672574,70OphA
23.253115373250296,0.5000351645075637,70OphA
23.21718546054579,0.4998701578569746,70OphA
23.27935914327966,0.5000493856515771,70OphA
23.219344272148444,0.5002011614836321,70OphA
23.238173631241008,0.4998718369149378,70OphA
23.246522538625943,0.5000229999980018,70OphA
23.23588223253876,0.4995953782472588,70OphA
23.18672067811899,0.5003121722709539,70OphA
23.25671200856915,0.5002375473337923,70OphA
23.25443459799046,0.5003994339334477,70OphA
23.21852949234088,0.5004737227550491,70OphA
23.225112940481253,0.5003209282361756,70OphA
23.25729482059362,0.500305593609507,70OphA
23.237048751752315,0.5000121612011047,70OphA
23.23896547894516,0.5001283765804518,70OphA
23.22262733438697,0.500400510833093,70OphA
23.17886899190661,0.4999404325939349,70OphA
23.232070062150555,0.5001342936738756,70OphA
23.23577449317303,0.4998337773320935,70OphA
23.195155746845728,0.4999362091238327,70OphA
23.241813268435717,0.5001568916433595,70OphA
23.210634869182734,0.5003236542683127,70OphA
23.204281046498828,0.499940771326103,70OphA
23.20176635119304,0.4999607084043945,70OphA
23.24060271743126,0.5001133945146395,70OphA
23.233581143143294,0.500129919471764,70OphA
23.234816682372067,0.5000406829273701,70OphA
23.226338283722555,0.4998291769163311,70OphA
23.25180454355708,0.5000323541331125,70OphA
