body,starting_a,starting_e,host
3,6.076814786341026,0.0406164015502018,GamLeoB
4,6.161551128129384,0.0434231749675076,GamLeoB
5,6.24628746991774,0.0612636253233623,GamLeoB
6,6.331023811706098,0.0093173446009629,GamLeoB
7,6.415760153494457,0.0870471188435512,GamLeoB
8,6.500496495282812,0.0569003890369294,GamLeoB
9,6.585232837071171,0.022281902998405,GamLeoB
10,6.669969178859531,0.084295721271593,GamLeoB
11,6.75470552064789,0.0226470622296163,GamLeoB
12,6.839441862436245,0.0768504721734179,GamLeoB
13,6.924178204224603,0.0703670417690306,GamLeoB
14,7.0089145460129645,0.0919081619906539,GamLeoB
15,7.093650887801319,0.0678699101548382,GamLeoB
16,7.178387229589674,0.0032059642938501,GamLeoB
17,7.263123571378034,0.0312566130374764,GamLeoB
18,7.3478599131663955,0.0488786179812357,GamLeoB
19,7.432596254954751,0.0121037229730861,GamLeoB
20,7.517332596743111,0.0504744144086377,GamLeoB
21,7.602068938531461,0.0793218670859933,GamLeoB
22,7.686805280319825,0.009635293745911,GamLeoB
23,7.771541622108183,0.0949515860532712,GamLeoB
24,7.85627796389654,0.0138620017189742,GamLeoB
25,7.941014305684898,0.064091940891371,GamLeoB
26,8.02575064747325,0.0187453041577852,GamLeoB
27,8.110486989261608,0.0515744231348878,GamLeoB
28,8.195223331049966,0.0984896347072157,GamLeoB
29,8.279959672838334,0.0556604917247137,GamLeoB
30,8.364696014626682,0.0193539045166527,GamLeoB
31,8.449432356415045,0.0833218074654154,GamLeoB
32,8.534168698203404,0.0967576296858704,GamLeoB
33,8.618905039991759,0.0100649606747761,GamLeoB
34,8.70364138178011,0.0263648189522294,GamLeoB
35,8.78837772356847,0.0927579233725151,GamLeoB
36,8.873114065356832,0.0426442356165496,GamLeoB
37,8.957850407145186,0.041287515788921,GamLeoB
38,9.04258674893355,0.0472648014841396,GamLeoB
39,9.127323090721912,0.075698265913656,GamLeoB
40,9.212059432510264,0.0971811199577655,GamLeoB
41,9.296795774298618,0.0172372312245637,GamLeoB
42,9.381532116086971,0.0157086946730139,GamLeoB
43,9.466268457875332,0.070693686666048,GamLeoB
44,9.551004799663696,0.0518396767556647,GamLeoB
45,9.635741141452051,0.0311376975535758,GamLeoB
46,9.720477483240408,0.0427663871126411,GamLeoB
47,9.80521382502877,0.0662057728732855,GamLeoB
48,9.889950166817131,0.0636968596747803,GamLeoB
49,9.974686508605478,0.0631578963329132,GamLeoB
50,10.059422850393837,0.0029673306270837,GamLeoB
51,10.1441591921822,0.0531247346381327,GamLeoB
52,10.22889553397055,0.0591904340513004,GamLeoB
53,10.313631875758912,0.0872060231288438,GamLeoB
54,10.398368217547269,0.0443535575662598,GamLeoB
55,10.48310455933563,0.0742359566796264,GamLeoB
56,10.567840901123985,0.018218950192539,GamLeoB
57,10.652577242912344,0.0746433235821462,GamLeoB
58,10.7373135847007,0.0014760575063854,GamLeoB
59,10.82204992648906,0.066359030266467,GamLeoB
60,10.906786268277418,0.0557026578026551,GamLeoB
61,10.99152261006578,0.0344829198850484,GamLeoB
62,11.076258951854127,0.02445827622317,GamLeoB
63,11.160995293642488,0.0534119898446566,GamLeoB
64,11.245731635430852,0.0259690263280772,GamLeoB
65,11.330467977219202,0.074037543682013,GamLeoB
66,11.41520431900757,0.0064065905995707,GamLeoB
67,11.499940660795918,0.0650154753387054,GamLeoB
68,11.584677002584272,0.0196756598123383,GamLeoB
69,11.669413344372638,0.0286825557849022,GamLeoB
70,11.754149686160996,0.0950572084800452,GamLeoB
71,11.838886027949352,0.0473874707342539,GamLeoB
72,11.923622369737712,0.0616075903105175,GamLeoB
73,12.00835871152607,6.161995701254592e-06,GamLeoB
74,12.09309505331442,0.0532942574420576,GamLeoB
75,12.177831395102778,0.0126801626507081,GamLeoB
76,12.26256773689114,0.0520344436142349,GamLeoB
77,12.347304078679487,0.0638558550660186,GamLeoB
78,12.432040420467857,0.0592300107873429,GamLeoB
79,12.516776762256203,0.0202013964028192,GamLeoB
80,12.601513104044573,0.0603790747777571,GamLeoB
81,12.686249445832935,0.0243068775418371,GamLeoB
82,12.770985787621283,0.0640073392963038,GamLeoB
83,12.85572212940964,0.0273333642350204,GamLeoB
84,12.940458471198005,0.0095844421957112,GamLeoB
85,13.025194812986356,0.0119592725612711,GamLeoB
86,13.10993115477472,0.0107632361961723,GamLeoB
87,13.19466749656308,0.0268335528657267,GamLeoB
88,13.279403838351442,0.0332019244958607,GamLeoB
89,13.36414018013979,0.0974131995415719,GamLeoB
90,13.448876521928154,0.0071526624764578,GamLeoB
91,13.533612863716508,0.0852466786590045,GamLeoB
92,13.618349205504872,0.0321245023115069,GamLeoB
93,13.703085547293236,0.0897627163626571,GamLeoB
94,13.78782188908158,0.0471763662241492,GamLeoB
95,13.872558230869942,0.06421327672826,GamLeoB
96,13.957294572658302,0.0089348734235408,GamLeoB
97,14.04203091444666,0.0362763510338033,GamLeoB
98,14.12676725623502,0.0288374683173722,GamLeoB
99,14.211503598023368,0.0635511072330693,GamLeoB
100,14.296239939811723,0.0180897257399308,GamLeoB
101,14.38097628160009,0.0879980169291236,GamLeoB
2_summary,14.380976281600084,0.0481599144758562,GamLeoB
3_summary,14.380976281600084,0.0481599144758562,GamLeoB
4_summary,14.380976281600084,0.0481599144758562,GamLeoB
5_summary,14.380976281600084,0.0481599144758562,GamLeoB
6_summary,14.380976281600084,0.0481599144758562,GamLeoB
7_summary,14.380976281600084,0.0481599144758562,GamLeoB
8_summary,14.380976281600084,0.0481599144758562,GamLeoB
9_summary,14.380976281600084,0.0481599144758562,GamLeoB
10_summary,14.380976281600084,0.0481599144758562,GamLeoB
11_summary,14.380976281600084,0.0481599144758562,GamLeoB
12_summary,14.380976281600084,0.0481599144758562,GamLeoB
13_summary,14.380976281600084,0.0481599144758562,GamLeoB
14_summary,14.380976281600084,0.0481599144758562,GamLeoB
15_summary,14.380976281600084,0.0481599144758562,GamLeoB
16_summary,14.380976281600084,0.0481599144758562,GamLeoB
17_summary,14.380976281600084,0.0481599144758562,GamLeoB
18_summary,14.380976281600084,0.0481599144758562,GamLeoB
19_summary,14.380976281600084,0.0481599144758562,GamLeoB
20_summary,14.380976281600084,0.0481599144758562,GamLeoB
21_summary,14.380976281600084,0.0481599144758562,GamLeoB
22_summary,14.380976281600084,0.0481599144758562,GamLeoB
23_summary,14.380976281600084,0.0481599144758562,GamLeoB
24_summary,14.380976281600084,0.0481599144758562,GamLeoB
25_summary,14.380976281600084,0.0481599144758562,GamLeoB
26_summary,14.380976281600084,0.0481599144758562,GamLeoB
27_summary,14.380976281600084,0.0481599144758562,GamLeoB
28_summary,14.380976281600084,0.0481599144758562,GamLeoB
29_summary,14.380976281600084,0.0481599144758562,GamLeoB
30_summary,14.380976281600084,0.0481599144758562,GamLeoB
31_summary,14.380976281600084,0.0481599144758562,GamLeoB
32_summary,14.380976281600084,0.0481599144758562,GamLeoB
33_summary,14.380976281600084,0.0481599144758562,GamLeoB
34_summary,14.380976281600084,0.0481599144758562,GamLeoB
35_summary,14.380976281600084,0.0481599144758562,GamLeoB
36_summary,14.380976281600084,0.0481599144758562,GamLeoB
37_summary,14.380976281600084,0.0481599144758562,GamLeoB
38_summary,14.380976281600084,0.0481599144758562,GamLeoB
39_summary,14.380976281600084,0.0481599144758562,GamLeoB
40_summary,14.380976281600084,0.0481599144758562,GamLeoB
41_summary,14.380976281600084,0.0481599144758562,GamLeoB
42_summary,14.380976281600084,0.0481599144758562,GamLeoB
43_summary,14.380976281600084,0.0481599144758562,GamLeoB
44_summary,14.380976281600084,0.0481599144758562,GamLeoB
45_summary,14.380976281600084,0.0481599144758562,GamLeoB
46_summary,14.380976281600084,0.0481599144758562,GamLeoB
47_summary,14.380976281600084,0.0481599144758562,GamLeoB
48_summary,14.380976281600084,0.0481599144758562,GamLeoB
49_summary,14.380976281600084,0.0481599144758562,GamLeoB
50_summary,14.380976281600084,0.0481599144758562,GamLeoB
51_summary,14.380976281600084,0.0481599144758562,GamLeoB
52_summary,14.380976281600084,0.0481599144758562,GamLeoB
53_summary,14.380976281600084,0.0481599144758562,GamLeoB
54_summary,14.380976281600084,0.0481599144758562,GamLeoB
55_summary,14.380976281600084,0.0481599144758562,GamLeoB
56_summary,14.380976281600084,0.0481599144758562,GamLeoB
57_summary,14.380976281600084,0.0481599144758562,GamLeoB
58_summary,14.380976281600084,0.0481599144758562,GamLeoB
59_summary,14.380976281600084,0.0481599144758562,GamLeoB
60_summary,14.380976281600084,0.0481599144758562,GamLeoB
61_summary,14.380976281600084,0.0481599144758562,GamLeoB
62_summary,14.380976281600084,0.0481599144758562,GamLeoB
63_summary,14.380976281600084,0.0481599144758562,GamLeoB
64_summary,14.380976281600084,0.0481599144758562,GamLeoB
65_summary,14.380976281600084,0.0481599144758562,GamLeoB
66_summary,14.380976281600084,0.0481599144758562,GamLeoB
67_summary,14.380976281600084,0.0481599144758562,GamLeoB
68_summary,14.380976281600084,0.0481599144758562,GamLeoB
69_summary,14.380976281600084,0.0481599144758562,GamLeoB
70_summary,14.380976281600084,0.0481599144758562,GamLeoB
71_summary,14.380976281600084,0.0481599144758562,GamLeoB
72_summary,14.380976281600084,0.0481599144758562,GamLeoB
73_summary,14.380976281600084,0.0481599144758562,GamLeoB
74_summary,14.380976281600084,0.0481599144758562,GamLeoB
75_summary,14.380976281600084,0.0481599144758562,GamLeoB
76_summary,14.380976281600084,0.0481599144758562,GamLeoB
77_summary,14.380976281600084,0.0481599144758562,GamLeoB
78_summary,14.380976281600084,0.0481599144758562,GamLeoB
79_summary,14.380976281600084,0.0481599144758562,GamLeoB
80_summary,14.380976281600084,0.0481599144758562,GamLeoB
81_summary,14.380976281600084,0.0481599144758562,GamLeoB
82_summary,14.380976281600084,0.0481599144758562,GamLeoB
83_summary,14.380976281600084,0.0481599144758562,GamLeoB
84_summary,14.380976281600084,0.0481599144758562,GamLeoB
85_summary,14.380976281600084,0.0481599144758562,GamLeoB
86_summary,14.380976281600084,0.0481599144758562,GamLeoB
87_summary,14.380976281600084,0.0481599144758562,GamLeoB
88_summary,14.380976281600084,0.0481599144758562,GamLeoB
89_summary,14.380976281600084,0.0481599144758562,GamLeoB
90_summary,14.380976281600084,0.0481599144758562,GamLeoB
91_summary,14.380976281600084,0.0481599144758562,GamLeoB
92_summary,14.380976281600084,0.0481599144758562,GamLeoB
93_summary,14.380976281600084,0.0481599144758562,GamLeoB
94_summary,14.380976281600084,0.0481599144758562,GamLeoB
95_summary,14.380976281600084,0.0481599144758562,GamLeoB
96_summary,14.380976281600084,0.0481599144758562,GamLeoB
97_summary,14.380976281600084,0.0481599144758562,GamLeoB
98_summary,14.380976281600084,0.0481599144758562,GamLeoB
99_summary,14.380976281600084,0.0481599144758562,GamLeoB
100_summary,14.380976281600084,0.0481599144758562,GamLeoB
101_summary,14.380976281600084,0.0481599144758562,GamLeoB
