body,starting_a,starting_e,host
2,0.43847278909215,0.0064483660513164,36OphB
3,0.4445869428762869,0.0802122701973104,36OphB
4,0.4507010966604236,0.0134673000703568,36OphB
5,0.4568152504445607,0.0663849410515367,36OphB
6,0.4629294042286979,0.0803834647106929,36OphB
7,0.469043558012835,0.0571576038130906,36OphB
8,0.4751577117969721,0.0061590259868437,36OphB
9,0.4812718655811092,0.0209043049681722,36OphB
10,0.4873860193652459,0.0934556768154827,36OphB
11,0.4935001731493835,0.0388580575582712,36OphB
12,0.4996143269335201,0.0331963949570335,36OphB
13,0.5057284807176567,0.0176123840495327,36OphB
14,0.5118426345017945,0.0808610366618922,36OphB
15,0.517956788285931,0.0243432635482101,36OphB
16,0.5240709420700684,0.0539982704921314,36OphB
17,0.5301850958542054,0.0933933414575464,36OphB
18,0.5362992496383422,0.0612444603867538,36OphB
19,0.5424134034224803,0.0500462295208617,36OphB
20,0.548527557206617,0.0360517010418548,36OphB
21,0.5546417109907537,0.0378445155900193,36OphB
22,0.5607558647748904,0.0002793793990465,36OphB
23,0.5668700185590274,0.0779647977090486,36OphB
24,0.5729841723431639,0.0020955799134024,36OphB
25,0.5790983261273022,0.0127756049875229,36OphB
26,0.585212479911439,0.0712676735928125,36OphB
27,0.5913266336955757,0.0310225668508731,36OphB
28,0.597440787479713,0.0109603867731269,36OphB
29,0.6035549412638502,0.0976309617352985,36OphB
30,0.609669095047987,0.0798359934826214,36OphB
31,0.6157832488321247,0.0443966191372192,36OphB
32,0.6218974026162609,0.0219713288870806,36OphB
33,0.6280115564003972,0.0721374182260846,36OphB
34,0.634125710184535,0.0362940055151477,36OphB
35,0.6402398639686728,0.0142176521862996,36OphB
36,0.64635401775281,0.0928231750681537,36OphB
37,0.6524681715369467,0.0038535851798387,36OphB
38,0.6585823253210835,0.0486678946778186,36OphB
39,0.6646964791052202,0.0104628190769103,36OphB
40,0.6708106328893569,0.0092174917015664,36OphB
41,0.676924786673494,0.0709568384073338,36OphB
42,0.6830389404576314,0.0778731044435805,36OphB
43,0.6891530942417686,0.0136086849367138,36OphB
44,0.695267248025905,0.0225130286858718,36OphB
45,0.7013814018100424,0.0955761781799904,36OphB
46,0.7074955555941795,0.0822182973228661,36OphB
47,0.7136097093783168,0.0172870052572778,36OphB
48,0.719723863162455,0.0724253140439215,36OphB
49,0.7258380169465904,0.0149536507413067,36OphB
50,0.7319521707307272,0.057700094640315,36OphB
51,0.7380663245148653,0.0621985075964625,36OphB
52,0.7441804782990019,0.0230432183479827,36OphB
53,0.7502946320831393,0.0451440358759717,36OphB
54,0.7564087858672758,0.0883902586128131,36OphB
55,0.7625229396514128,0.0303921653775681,36OphB
56,0.7686370934355503,0.0520469408025893,36OphB
57,0.7747512472196868,0.0705581993672402,36OphB
