body,starting_a,starting_e,host
2,0.2965181996642463,0.0488169986780825,70OphB
3,0.3006529097708794,0.0360418704728981,70OphB
4,0.3047876198775115,0.0265843668162115,70OphB
5,0.3089223299841443,0.0849811850996849,70OphB
6,0.313057040090776,0.0108311360992479,70OphB
7,0.3171917501974095,0.0633530274227517,70OphB
8,0.3213264603040413,0.0363710878982637,70OphB
9,0.3254611704106747,0.0024685044261393,70OphB
10,0.3295958805173072,0.0673856196167474,70OphB
11,0.3337305906239392,0.0078593482596367,70OphB
12,0.3378653007305712,0.0338749009747478,70OphB
13,0.3420000108372041,0.0799756986805789,70OphB
14,0.3461347209438362,0.0922804391006396,70OphB
15,0.3502694310504696,0.0407805181443478,70OphB
16,0.3544041411571009,0.0748348935122643,70OphB
17,0.3585388512637352,0.0702549720055238,70OphB
18,0.3626735613703667,0.0475855425106535,70OphB
19,0.3668082714769994,0.0597900035635444,70OphB
20,0.370942981583631,0.0654100164123935,70OphB
21,0.3750776916902635,0.06005475399159,70OphB
22,0.3792124017968969,0.0584117405389339,70OphB
23,0.3833471119035284,0.0058948325223619,70OphB
24,0.387481822010162,0.0275834068361866,70OphB
25,0.3916165321167946,0.0654467367950526,70OphB
26,0.3957512422234264,0.025899851450486,70OphB
27,0.3998859523300598,0.0519512568595206,70OphB
28,0.4040206624366922,0.0151739932363481,70OphB
29,0.408155372543324,0.0253609989186024,70OphB
30,0.412290082649957,0.0669382139152613,70OphB
31,0.4164247927565894,0.0875413801783486,70OphB
32,0.4205595028632217,0.0351732711814615,70OphB
33,0.4246942129698539,0.0414058364215895,70OphB
34,0.4288289230764873,0.0153114503457945,70OphB
35,0.4329636331831196,0.0118920805469859,70OphB
36,0.4370983432897518,0.0896605667856227,70OphB
37,0.4412330533963845,0.0013771470863817,70OphB
38,0.4453677635030164,0.0049561282403739,70OphB
39,0.449502473609649,0.0522120468907255,70OphB
40,0.4536371837162817,0.0779748106489791,70OphB
41,0.4577718938229142,0.027452267664176,70OphB
42,0.4619066039295471,0.0997931507383386,70OphB
43,0.4660413140361796,0.0937940523798388,70OphB
44,0.4701760241428114,0.068392702084346,70OphB
45,0.4743107342494444,0.0353850632329543,70OphB
46,0.478445444356077,0.0700268421683838,70OphB
47,0.4825801544627087,0.0939955586003432,70OphB
48,0.486714864569342,0.0912506591099713,70OphB
49,0.4908495746759745,0.0365734485384553,70OphB
50,0.4949842847826072,0.0418284572768221,70OphB
51,0.4991189948892389,0.0357405900952435,70OphB
52,0.5032537049958719,0.0157386431332954,70OphB
53,0.507388415102505,0.0392420064937807,70OphB
54,0.5115231252091368,0.0043081320575727,70OphB
55,0.5156578353157701,0.0814926325027934,70OphB
56,0.5197925454224027,0.0043319550848433,70OphB
57,0.5239272555290346,0.0229613985174722,70OphB
58,0.528061965635667,0.0240105742256962,70OphB
59,0.5321966757422992,0.0521922426142112,70OphB
60,0.5363313858489328,0.0082939412350474,70OphB
61,0.5404660959555643,0.052367565753356,70OphB
62,0.5446008060621974,0.0803139720470094,70OphB
63,0.5487355161688294,0.027088712397523,70OphB
64,0.5528702262754626,0.0793442165101124,70OphB
65,0.5570049363820951,0.0800169797705823,70OphB
66,0.5611396464887274,0.0801581202783966,70OphB
67,0.5652743565953589,0.0871367913692171,70OphB
68,0.569409066701993,0.0347720185533643,70OphB
69,0.573543776808624,0.0801689709300353,70OphB
70,0.5776784869152578,0.0256810902129352,70OphB
71,0.5818131970218897,0.0576705870063983,70OphB
72,0.5859479071285218,0.0640371719686347,70OphB
73,0.5900826172351551,0.0141431131986877,70OphB
74,0.5942173273417871,0.0425641758118186,70OphB
75,0.5983520374484197,0.0713539371564751,70OphB
76,0.6024867475550523,0.0922846051977041,70OphB
77,0.6066214576616852,0.0510334944422732,70OphB
78,0.6107561677683175,0.0013043839438487,70OphB
79,0.6148908778749497,0.0133745398081665,70OphB
80,0.6190255879815818,0.0743916987940772,70OphB
81,0.6231602980882148,0.0969652074971234,70OphB
82,0.6272950081948473,0.0002751720387443,70OphB
83,0.6314297183014809,0.0217776339020329,70OphB
84,0.6355644284081122,0.0929118823815981,70OphB
85,0.6396991385147455,0.0388529077292839,70OphB
86,0.643833848621377,0.0095366372456253,70OphB
87,0.647968558728009,0.0380185416960903,70OphB
88,0.6521032688346426,0.0773974781189202,70OphB
89,0.6562379789412751,0.0137659936283221,70OphB
90,0.6603726890479081,0.0380981628086879,70OphB
91,0.66450739915454,0.0383798975463121,70OphB
92,0.6686421092611726,0.0207675832429807,70OphB
93,0.6727768193678054,0.0591098940123747,70OphB
94,0.6769115294744378,0.0237253771326935,70OphB
95,0.6810462395810692,0.0305030502654901,70OphB
96,0.6851809496877026,0.0878632730045734,70OphB
97,0.6893156597943351,0.0661848651893594,70OphB
98,0.6934503699009669,0.0091135036431735,70OphB
99,0.6975850800076,0.076287006822742,70OphB
100,0.7017197901142325,0.020771732836422,70OphB
101,0.7058545002208652,0.0306270009114375,70OphB
2_summary,0.7058545002208653,0.0216294729269376,70OphB
3_summary,0.7058545002208653,0.0216294729269376,70OphB
4_summary,0.7058545002208653,0.0216294729269376,70OphB
5_summary,0.7058545002208653,0.0216294729269376,70OphB
6_summary,0.7058545002208653,0.0216294729269376,70OphB
7_summary,0.7058545002208653,0.0216294729269376,70OphB
8_summary,0.7058545002208653,0.0216294729269376,70OphB
9_summary,0.7058545002208653,0.0216294729269376,70OphB
10_summary,0.7058545002208653,0.0216294729269376,70OphB
11_summary,0.7058545002208653,0.0216294729269376,70OphB
12_summary,0.7058545002208653,0.0216294729269376,70OphB
13_summary,0.7058545002208653,0.0216294729269376,70OphB
14_summary,0.7058545002208653,0.0216294729269376,70OphB
15_summary,0.7058545002208653,0.0216294729269376,70OphB
16_summary,0.7058545002208653,0.0216294729269376,70OphB
17_summary,0.7058545002208653,0.0216294729269376,70OphB
18_summary,0.7058545002208653,0.0216294729269376,70OphB
19_summary,0.7058545002208653,0.0216294729269376,70OphB
20_summary,0.7058545002208653,0.0216294729269376,70OphB
21_summary,0.7058545002208653,0.0216294729269376,70OphB
22_summary,0.7058545002208653,0.0216294729269376,70OphB
23_summary,0.7058545002208653,0.0216294729269376,70OphB
24_summary,0.7058545002208653,0.0216294729269376,70OphB
25_summary,0.7058545002208653,0.0216294729269376,70OphB
26_summary,0.7058545002208653,0.0216294729269376,70OphB
27_summary,0.7058545002208653,0.0216294729269376,70OphB
28_summary,0.7058545002208653,0.0216294729269376,70OphB
29_summary,0.7058545002208653,0.0216294729269376,70OphB
30_summary,0.7058545002208653,0.0216294729269376,70OphB
31_summary,0.7058545002208653,0.0216294729269376,70OphB
32_summary,0.7058545002208653,0.0216294729269376,70OphB
33_summary,0.7058545002208653,0.0216294729269376,70OphB
34_summary,0.7058545002208653,0.0216294729269376,70OphB
35_summary,0.7058545002208653,0.0216294729269376,70OphB
36_summary,0.7058545002208653,0.0216294729269376,70OphB
37_summary,0.7058545002208653,0.0216294729269376,70OphB
38_summary,0.7058545002208653,0.0216294729269376,70OphB
39_summary,0.7058545002208653,0.0216294729269376,70OphB
40_summary,0.7058545002208653,0.0216294729269376,70OphB
41_summary,0.7058545002208653,0.0216294729269376,70OphB
42_summary,0.7058545002208653,0.0216294729269376,70OphB
43_summary,0.7058545002208653,0.0216294729269376,70OphB
44_summary,0.7058545002208653,0.0216294729269376,70OphB
45_summary,0.7058545002208653,0.0216294729269376,70OphB
46_summary,0.7058545002208653,0.0216294729269376,70OphB
47_summary,0.7058545002208653,0.0216294729269376,70OphB
48_summary,0.7058545002208653,0.0216294729269376,70OphB
49_summary,0.7058545002208653,0.0216294729269376,70OphB
50_summary,0.7058545002208653,0.0216294729269376,70OphB
51_summary,0.7058545002208653,0.0216294729269376,70OphB
52_summary,0.7058545002208653,0.0216294729269376,70OphB
53_summary,0.7058545002208653,0.0216294729269376,70OphB
54_summary,0.7058545002208653,0.0216294729269376,70OphB
55_summary,0.7058545002208653,0.0216294729269376,70OphB
56_summary,0.7058545002208653,0.0216294729269376,70OphB
57_summary,0.7058545002208653,0.0216294729269376,70OphB
58_summary,0.7058545002208653,0.0216294729269376,70OphB
59_summary,0.7058545002208653,0.0216294729269376,70OphB
60_summary,0.7058545002208653,0.0216294729269376,70OphB
61_summary,0.7058545002208653,0.0216294729269376,70OphB
62_summary,0.7058545002208653,0.0216294729269376,70OphB
63_summary,0.7058545002208653,0.0216294729269376,70OphB
64_summary,0.7058545002208653,0.0216294729269376,70OphB
65_summary,0.7058545002208653,0.0216294729269376,70OphB
66_summary,0.7058545002208653,0.0216294729269376,70OphB
67_summary,0.7058545002208653,0.0216294729269376,70OphB
68_summary,0.7058545002208653,0.0216294729269376,70OphB
69_summary,0.7058545002208653,0.0216294729269376,70OphB
70_summary,0.7058545002208653,0.0216294729269376,70OphB
71_summary,0.7058545002208653,0.0216294729269376,70OphB
72_summary,0.7058545002208653,0.0216294729269376,70OphB
73_summary,0.7058545002208653,0.0216294729269376,70OphB
74_summary,0.7058545002208653,0.0216294729269376,70OphB
75_summary,0.7058545002208653,0.0216294729269376,70OphB
76_summary,0.7058545002208653,0.0216294729269376,70OphB
77_summary,0.7058545002208653,0.0216294729269376,70OphB
78_summary,0.7058545002208653,0.0216294729269376,70OphB
79_summary,0.7058545002208653,0.0216294729269376,70OphB
80_summary,0.7058545002208653,0.0216294729269376,70OphB
81_summary,0.7058545002208653,0.0216294729269376,70OphB
82_summary,0.7058545002208653,0.0216294729269376,70OphB
83_summary,0.7058545002208653,0.0216294729269376,70OphB
84_summary,0.7058545002208653,0.0216294729269376,70OphB
85_summary,0.7058545002208653,0.0216294729269376,70OphB
86_summary,0.7058545002208653,0.0216294729269376,70OphB
87_summary,0.7058545002208653,0.0216294729269376,70OphB
88_summary,0.7058545002208653,0.0216294729269376,70OphB
89_summary,0.7058545002208653,0.0216294729269376,70OphB
90_summary,0.7058545002208653,0.0216294729269376,70OphB
91_summary,0.7058545002208653,0.0216294729269376,70OphB
92_summary,0.7058545002208653,0.0216294729269376,70OphB
93_summary,0.7058545002208653,0.0216294729269376,70OphB
94_summary,0.7058545002208653,0.0216294729269376,70OphB
95_summary,0.7058545002208653,0.0216294729269376,70OphB
96_summary,0.7058545002208653,0.0216294729269376,70OphB
97_summary,0.7058545002208653,0.0216294729269376,70OphB
98_summary,0.7058545002208653,0.0216294729269376,70OphB
99_summary,0.7058545002208653,0.0216294729269376,70OphB
100_summary,0.7058545002208653,0.0216294729269376,70OphB
101_summary,0.7058545002208653,0.0216294729269376,70OphB
